Tweet,Compound,Date,Negative,Neutral,Positive,Source,Text,User
102,0.6514,Sun Mar 18 18:05:43 +0000 2018,0.0,0.787,0.213,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Spend your Sunday streaming Second Round games LIVE with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/zbWfirD9Ju,CBS
103,0.1867,Sun Mar 18 17:09:53 +0000 2018,0.0,0.92,0.08,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @instinctcbs: TONIGHT, Dr. Dylan Reinhart rewrites the book on abnormal behavior. Don't miss the premiere of #Instinct at 8/7c! https://…",CBS
104,0.0,Sat Mar 17 19:00:02 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","If any duo knows how to rock the stage, it's @FLAGALine. The Vocal Duo Of The Year nominee will perform live at the… https://t.co/FknabB8NQp",CBS
105,0.6166,Sat Mar 17 17:42:43 +0000 2018,0.0,0.839,0.161,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",How is your bracket looking after last night? Stream Second Round games LIVE today with a FREE trial of CBS All Acc… https://t.co/25JlIpgwog,CBS
106,0.7096,Sat Mar 17 14:00:03 +0000 2018,0.0,0.753,0.247,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL,CBS
107,0.296,Fri Mar 16 22:53:21 +0000 2018,0.0,0.896,0.104,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i,CBS
108,0.0,Fri Mar 16 18:15:53 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…",CBS
109,0.6514,Fri Mar 16 16:28:40 +0000 2018,0.0,0.822,0.178,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The games have just begun! Continue to stream First Round games LIVE today with a FREE trial of CBS All Access:… https://t.co/YTGsJ48zYP,CBS
110,0.7088,Thu Mar 15 17:54:06 +0000 2018,0.0,0.763,0.237,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @TheTalkCBS: You asked, we answered! The fun never ends when the ladies #KeepTalking and answer your fan questions ???? https://t.co/ie1…",CBS
111,-0.4939,Thu Mar 15 17:20:26 +0000 2018,0.157,0.766,0.077,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @instinctcbs: Dr. Dylan Reinhart is lured back into the field from his life of quiet academia when a certain serial killer makes things…,CBS
112,0.6514,Thu Mar 15 16:42:41 +0000 2018,0.0,0.806,0.194,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Stream First Round games LIVE today starting at 12PM ET with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/vZow3YD8cb,CBS
113,0.6115,Thu Mar 15 14:32:16 +0000 2018,0.0,0.734,0.266,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @CBSSports: It's the most wonderful time of the year. #MarchMadness https://t.co/e4c9qohqSR,CBS
